S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
135,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL46,5D,26,"gwm358, wmc805",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
136,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL50,6A,93,"gwm427, wmc642",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
137,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL51,6B,27,"gwm518, gwm508",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
138,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL53,6B,60,barc148,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
139,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL56,6D,110,wmc773,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
140,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL61,7B,35,"gwm537, gwm400",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
141,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL64,7D,51,"gdm88, wmc827",-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
142,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL66,7D,141,gwm37,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
143,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL1,1D,36.3,"XKsuE18a, Xhor12d",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
144,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL2,1D,55.1,"Xcfd65, Xbarc169",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
145,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL3,3B,47.9,"Xgwm685, Xgwm376",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
146,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL4,5A,46.5,"Xwmc489, Xgwm639",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
147,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL5,5A,62.5,"Xwmc415, Xwmc795",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
148,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL6,5A,98.4,"Xcdo20, Xwmc0075",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
149,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL7,5A,148.4,"Xwmc577, Xgwm595",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
150,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL8,6D,108.8,"Xcfd1, Xcfd13",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
151,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL9,7A,42.7,"XwPt11547, Xgwm1083",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
152,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL10,7A,97.4,"Xfbb186, Xbcd100",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
153,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL11,7A,140.3,"Xgwm10, XP37, M64, 255",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
154,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL12,7D,128.7,"Xbarc5, Xbarc154",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
155,"Triticum aestivum","Drought stress tolerance","Drought stress tolerance",MQTL13,7D,149.5,"Xwmc42, Xgdm67",-,https://link.springer.com/article/10.1007/s12298-020-00847-6
156,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL1,1A,27.64,"Xfba254, Xwmc95b",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
157,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL2,1B,55.57,"Xcdo98.2, Xmwg837b",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
158,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL3,1B,88.5,"Xbarc81, Xfba294",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
159,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL4,1B,110.39,"Xfba266c, XksuI27",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
160,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL5,1B,113.52,"XksuI27, Xbarc80",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
161,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL6,2A,69.11,"Xglk554, Xcmwg682b",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
162,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL7,2B,58.12,"Xgwm55, Xgwm429",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
163,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL8,2B,86.05,"Xwmc265, Xgwm877.1",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
164,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL9,2D,30.1,"Xgwm455, Xbcd718",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
165,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL10,2D,56.42,"Xfba74a, Xgwm30.1",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
166,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL11,2D,93.17,"Xcdo1008, Xksud23a",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
167,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL12,3A,68.25,"Xcdo1345, Xgwm2",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
168,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL13,3A,112.58,"Xcfa2134, XgbxG242",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
169,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL14,3A,130.93,"Xmwg570, Xcdo113",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
170,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL15,3B,12.34,"XksuG30a, Xgwm533a",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
171,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL16,3B,49.26,"Xgwm566, Xgwm888.3",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
172,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL17,4A,54.67,"XgbxR247, Xpsr593.2",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
173,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL18,4B,19.22,"Xgwm495a, Xcsu25",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
174,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL19,4B,60.69,"Xgwm131.2, Xmwg11a",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
175,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL20,4D,66.18,"Xbarc98, Xfbb336",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
176,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL21,4D,93.01,"Xcdo1312a, Xfba177b",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
177,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL22,5B,47.66,"Xbarc4, Xgwm371",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
178,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL23,5B,140.81,"Xpsp3065, Xgwm118",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
179,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL24,6A,39.98,"Xmwg67.1, XksuH4.2",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
180,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL25,6B,51.5,"S25M19_7, Xcdo476.2",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
181,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL26,6B,92,"Gpc, B1, Xwmc388a",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
182,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL27,6B,134.25,"Xgwm133b, Xfbb130",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
183,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL28,6B,158,"Xbarc134, Xwmc417b",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
184,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL29,7A,77,"XWC2028g, P78, M49.4",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
185,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL30,7B,30.06,"Xwmc335, Xgwm68.2",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
186,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL31,7B,62.59,"S25M15_19, Xgwm112",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
187,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL32,7B,91.92,"Xwmc273c, Xwmc311",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
188,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL33,7B,105.53,"Xgwm577, Xbarc340.2",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
189,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL34,7D,73.73,"Xbcd1438, Xcnl6b",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
190,"Triticum aestivum","Fungal resistance","Leaf rust resistance",MQTL35,7D,110,"Xgwm44, Xcfa2174c",-,https://doi.org/10.1094/PHYTO-05-15-0130-R
191,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1A.1 ",1A,32.98-37.6,"RAC875_c16820_419, wsnp_Ra_c26191_35761997",5.78,https://www.researchsquare.com/article/rs-773587/v1
192,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1A.2 ",1A,153.25-156.23,"wsnp_Ku_c816_1684354, CAP7_c490_123",10.37,https://www.researchsquare.com/article/rs-773587/v1
193,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1B.1 ",1B,2.105-2.915,"wsnp_RFL_Contig2449_2013497, wsnp_CAP8_c2023_1110474",8.4,https://www.researchsquare.com/article/rs-773587/v1
194,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1B.2 ",1B,5.665-7.115,"wsnp_Ra_c12151_19543036, wsnp_JD_rep_c63201_40318622",18.8,https://www.researchsquare.com/article/rs-773587/v1
195,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1B.3 ",1B,57.21-57.45,"CAP7_c199_62, Xabg373",8.65,https://www.researchsquare.com/article/rs-773587/v1
196,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1B.4 ",1B,66.86-68.86,"Kukri_c147_1620, cfa2129b",12.42,https://www.researchsquare.com/article/rs-773587/v1
197,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL1D.1 ",1D,48.91-59.28,"AX94817725, Excalibur_c55959_710",17.4,https://www.researchsquare.com/article/rs-773587/v1
198,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2A.1 ",2A,5.67-13.19,"wPt9793, AX94570860",7.86,https://www.researchsquare.com/article/rs-773587/v1
199,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2B.1 ",2B,8.12-11.16,"wPt1634, Xcfd276",4.8,https://www.researchsquare.com/article/rs-773587/v1
200,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2B.2 ",2B,57.59-58.48,"RAC875_rep_c109471_154, Xwmc25",20.8,https://www.researchsquare.com/article/rs-773587/v1
201,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2B.3 ",2B,100.3-100.48,"BS00070900_51, Lr50",14.64,https://www.researchsquare.com/article/rs-773587/v1
202,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2B.4 ",2B,124.98-126.72,"wsnp_Ra_c14267_22357509, D_GDS7LZN01D8KK0_75",4.8,https://www.researchsquare.com/article/rs-773587/v1
203,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2D.1 ",2D,16.33-16.59,"wsnp_Ex_c7669_13090850, Xbarc90",23.5,https://www.researchsquare.com/article/rs-773587/v1
204,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2D.2 ",2D,22.77-24.89,"wsnp_RFL_Contig1945_1118187, 1091926",7.4,https://www.researchsquare.com/article/rs-773587/v1
205,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2D.3 ",2D,39.55-39.85,"Xfba88, Xfba4",10.43,https://www.researchsquare.com/article/rs-773587/v1
206,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2D.4 ",2D,52.11-52.25,"Xcfd43, wPt0619",16.16,https://www.researchsquare.com/article/rs-773587/v1
207,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL2D.5 ",2D,123.17-130.83,"wsnp_Ra_c4712_8489753, Xfbb72a",20.63,https://www.researchsquare.com/article/rs-773587/v1
208,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3A.1 ",3A,1.83-2.82,"D_GDEEGVY02FU4W8_119, gwm369",7.77,https://www.researchsquare.com/article/rs-773587/v1
209,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3A.2 ",3A,44.24-45.8,"Kukri_c41361_186, BS00048491_51",5.02,https://www.researchsquare.com/article/rs-773587/v1
210,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3B.1 ",3B,2.22-3,"3955846, M21, P76.3",15.57,https://www.researchsquare.com/article/rs-773587/v1
211,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3B.2 ",3B,14.79-15.07,"XksuG53, 4989073",17.19,https://www.researchsquare.com/article/rs-773587/v1
212,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3B.3 ",3B,61.18-76.49,"Xgwm566, Xwmc762",9.1,https://www.researchsquare.com/article/rs-773587/v1
213,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3B.4 ",3B,191.66-193.78,"BobWhite_c22016_155, BS00087534_51",7.4,https://www.researchsquare.com/article/rs-773587/v1
214,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3D.1 ",3D,9.94-10.23,"IAAV5582, wsnp_Ex_rep_c101732_87042471",8.9,https://www.researchsquare.com/article/rs-773587/v1
215,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3D.2 ",3D,14.7-15.47,"Xgwm183a, CAP12_rep_c3953_177",26.8,https://www.researchsquare.com/article/rs-773587/v1
216,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL3D.3 ",3D,44.64-45.33,"Xwmc418, Xcnl5b",36.5,https://www.researchsquare.com/article/rs-773587/v1
217,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4A.1 ",4A,1.08-3.33,"Excalibur_c56041_728, wsnp_BE403710B_Ta_2_1",33.14,https://www.researchsquare.com/article/rs-773587/v1
218,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4B.1 ",4B,34.55-38.36,"AX95174194, AX94943082",12.93,https://www.researchsquare.com/article/rs-773587/v1
219,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4B.2 ",4B,97.73-100.62,"Xwmc310, GENE4933_1176",10.35,https://www.researchsquare.com/article/rs-773587/v1
220,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4B.3 ",4B,111.89-115.45,"BS00081631_51, Tdurum_contig64772_417",19.15,https://www.researchsquare.com/article/rs-773587/v1
221,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4B.4 ",4B,141.19-141.35,"RAC875_c104178_425, Xbcd402c",2.24,https://www.researchsquare.com/article/rs-773587/v1
222,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4D.1 ",4D,3.32-7.89,"Xcfd71, Xbarc0105",11.25,https://www.researchsquare.com/article/rs-773587/v1
223,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4D.2 ",4D,21.39-27.61,"Xbarc288, Kukri_rep_c68594_530",37.63,https://www.researchsquare.com/article/rs-773587/v1
224,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL4D.3 ",4D,29.55-39.97,"AX94773648, Xcfd39b",12.35,https://www.researchsquare.com/article/rs-773587/v1
225,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5A.1 ",5A,11.48-12.34,"Kukri_c14683_65, RAC875_c53808_1027",14.59,https://www.researchsquare.com/article/rs-773587/v1
226,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5A.2 ",5A,49.1-50.6,"wsnp_Ex_c62351_62025537, BF202040, 164",8.81,https://www.researchsquare.com/article/rs-773587/v1
227,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5A.3 ",5A,98.10-99.29,"Xwmc150, wPt3620",31.46,https://www.researchsquare.com/article/rs-773587/v1
228,"Triticum aestivum","Fungal resistance","Multiple disease resistance",MQTL5A.4,5A,127.62-127.77,"Xmwg522, Xcfa2121",9.815,https://www.researchsquare.com/article/rs-773587/v1
229,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5A.5 ",5A,188.45-189.46,"Xbarc232, Xcfa2185",11.67,https://www.researchsquare.com/article/rs-773587/v1
230,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5B.1 ",5B,17.23-21.66,"Xbarc74, IWB73666",12.02,https://www.researchsquare.com/article/rs-773587/v1
231,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5B.2 ",5B,45.38-47.71,"BS00023064_51, JG_c2778_160",12.92,https://www.researchsquare.com/article/rs-773587/v1
232,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5B.3 ",5B,54.06-55.86,"XP7152, 196, AX110438459",12.33,https://www.researchsquare.com/article/rs-773587/v1
233,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5B.4 ",5B,77.8-81.16,"RAC875_c52086_72, Xcfd156",15.1,https://www.researchsquare.com/article/rs-773587/v1
234,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5B.5 ",5B,136.29-136.35,"Xgwm272, Xwmc443",21.12,https://www.researchsquare.com/article/rs-773587/v1
235,"Triticum aestivum","Fungal resistance","Multiple disease resistance",MQTL5B.6,5B,166.29-172.70,"wPt3049, TC86533",17.1,https://www.researchsquare.com/article/rs-773587/v1
236,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5B.7 ",5B,238.74-238.83,"Excalibur_c76347_77, BobWhite_c1238_1826",6.16,https://www.researchsquare.com/article/rs-773587/v1
237,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5D.1 ",5D,33.5-33.84,"BobWhite_c1372_133, Ra_c6082_737",21.2,https://www.researchsquare.com/article/rs-773587/v1
238,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL5D.2 ",5D,40.35-55.66,"Kukri_c444_833, Xcfd78",20,https://www.researchsquare.com/article/rs-773587/v1
239,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL6A.1 ",6A,39.84-40.19,"wsnp_Ku_c7471_12865509, wPt1742",42,https://www.researchsquare.com/article/rs-773587/v1
240,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL6A.2 ",6A,68.12-78.76,"Ku_c10377_335, Excalibur_c14693_724",9.27,https://www.researchsquare.com/article/rs-773587/v1
241,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL6B.1 ",6B,26.06-30.25,"RFL_Contig3110_2172, Xgwm1051",9.17,https://www.researchsquare.com/article/rs-773587/v1
242,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL6B.2 ",6B,85.34-91.79,"wPt0470, RAC875_rep_c111705_629",3.62,https://www.researchsquare.com/article/rs-773587/v1
243,"Triticum aestivum","Fungal resistance","Multiple disease resistance","MQTL6B.3 ",6B,121.85-123.71,"wPt9784, wPt3060",51.23,https://www.researchsquare.com/article/rs-773587/v1
244,"Triticum aestivum","Fungal resistance","Multiple disease resistance",MQTL6D.1,6D,90.73-100.63,"P32, M52, 290, XMXE3M8o",7.2,https://www.researchsquare.com/article/rs-773587/v1
